school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,data_source,sleep_hours,mobile_social_hours,core_ability,Math_marks,Math_self_rating,Science_marks,Science_self_rating,Social_Science_marks,Social_Science_self_rating,English_marks,English_self_rating,Hindi_marks,Hindi_self_rating,Total_marks,Average_marks
GP,M,16,U,LE3,T,2,2,other,other,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,2,4,5,0,real_uci_base,6.4,7.0,39.3622334572778,29,2,51,2,32,2,42,2,42,2,196,39.2
GP,F,15,R,GT3,T,2,4,services,health,course,mother,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,2,real_uci_base,6.7,5.5,64.83844517354143,69,4,80,3,78,4,46,3,62,4,335,67.0
GP,F,16,U,GT3,T,2,2,services,services,home,mother,1,1,2,no,yes,yes,no,no,yes,yes,no,1,2,2,1,3,5,14,real_uci_base,7.5,6.5,20.0,22,1,30,3,25,2,19,1,14,1,110,22.0
GP,M,15,U,GT3,T,2,2,other,other,home,mother,1,1,0,no,yes,yes,no,yes,yes,yes,no,4,2,2,1,2,5,2,real_uci_base,6.6,4.6,39.22235539661765,34,1,41,2,26,2,34,3,38,2,173,34.6
GP,M,15,U,GT3,T,4,2,health,services,other,mother,1,1,0,no,no,yes,no,yes,yes,yes,no,2,2,4,2,4,1,4,real_uci_base,7.7,5.2,50.122656806632975,61,4,51,3,56,4,49,3,53,4,270,54.0
GP,M,16,U,LE3,A,3,4,services,other,home,mother,1,2,0,yes,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,5,4,real_uci_base,6.9,5.5,63.27119225517963,63,3,68,4,71,4,60,4,65,3,327,65.4
GP,M,16,U,GT3,T,4,4,teacher,teacher,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,4,4,5,5,5,5,16,real_uci_base,7.2,6.3,41.96577898348677,40,3,39,3,50,3,39,2,45,2,213,42.6
GP,M,15,U,GT3,T,4,4,health,services,home,mother,1,2,0,no,yes,yes,no,no,yes,yes,no,5,4,2,3,4,5,0,real_uci_base,7.0,5.4,54.25758717425622,54,3,59,3,59,3,36,2,50,3,258,51.6
GP,M,15,U,GT3,T,4,4,services,services,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,1,1,1,5,0,real_uci_base,8.6,4.0,65.12434662669544,81,5,65,5,65,4,63,4,66,4,340,68.0
GP,M,15,R,GT3,T,4,3,teacher,at_home,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,4,5,2,1,1,5,0,real_uci_base,7.5,5.7,52.31978157846245,53,3,56,3,57,3,59,3,56,3,281,56.2
GP,M,15,U,LE3,T,3,3,other,other,course,mother,1,2,0,no,no,no,yes,no,yes,yes,no,5,3,2,1,1,2,0,real_uci_base,6.6,5.7,55.4201888749845,44,3,65,4,55,3,65,4,47,2,276,55.2
GP,M,16,U,GT3,T,3,2,other,other,home,mother,1,1,0,no,yes,yes,no,no,yes,yes,no,5,4,3,1,1,5,0,real_uci_base,8.2,5.0,39.08569873234492,51,3,31,3,31,2,33,2,43,3,189,37.8
GP,F,15,U,GT3,T,2,3,other,other,other,father,2,1,0,no,yes,no,yes,yes,yes,no,no,3,5,1,1,1,5,0,real_uci_base,6.9,4.9,52.18873387301761,42,3,57,3,53,3,44,4,48,3,244,48.8
GP,M,15,U,LE3,T,4,3,teacher,services,home,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,1,4,2,real_uci_base,7.3,6.6,52.70104066534885,60,3,68,3,34,2,52,3,68,4,282,56.4
GP,M,16,R,GT3,A,4,4,other,teacher,reputation,mother,2,3,0,no,yes,no,yes,yes,yes,yes,yes,2,4,3,1,1,5,7,real_uci_base,5.8,5.7,63.960518970574,49,3,70,4,67,4,57,4,66,4,309,61.8
GP,F,15,R,GT3,T,3,4,services,health,course,mother,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,2,real_uci_base,6.1,2.9,62.249279436201306,58,3,49,3,47,4,55,4,56,3,265,53.0
GP,F,15,R,GT3,T,2,2,at_home,other,reputation,mother,1,1,0,yes,yes,yes,yes,yes,yes,no,no,4,3,1,1,1,2,8,real_uci_base,7.7,2.5,48.77999810841293,49,3,52,3,56,4,53,4,59,4,269,53.8
GP,F,16,U,LE3,T,2,2,other,other,home,mother,2,2,1,no,yes,no,yes,no,yes,yes,yes,3,3,3,1,2,3,25,real_uci_base,7.8,6.3,27.193596563492964,36,2,38,3,24,1,34,2,21,1,153,30.6
GP,M,15,U,LE3,T,4,4,teacher,other,home,other,1,1,0,no,yes,no,no,no,yes,yes,yes,5,4,3,2,4,5,8,real_uci_base,7.8,5.5,45.87176675646754,52,3,53,4,40,2,47,3,45,3,237,47.4
GP,M,15,U,GT3,T,4,4,services,teacher,course,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,5,2,real_uci_base,7.2,4.2,68.65118807088822,74,4,62,5,79,5,63,3,68,4,346,69.2
GP,M,15,U,GT3,T,2,2,services,services,course,father,1,1,0,yes,yes,no,no,yes,yes,yes,no,5,4,1,1,1,1,0,real_uci_base,7.4,4.3,35.833148060789526,35,3,26,2,22,2,38,2,32,3,153,30.6
GP,F,16,U,LE3,T,2,2,other,at_home,course,father,2,2,1,yes,no,no,yes,yes,yes,yes,no,4,3,3,2,2,5,14,real_uci_base,6.3,6.0,40.11179231652912,24,1,51,4,50,3,49,4,39,4,213,42.6
GP,F,15,U,LE3,A,4,3,other,other,course,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,yes,5,2,2,1,1,5,8,real_uci_base,6.7,4.5,57.97814088661025,67,3,66,3,65,3,59,3,40,3,297,59.4
GP,F,16,U,LE3,A,3,3,other,services,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,2,3,5,1,4,3,12,real_uci_base,7.0,5.9,35.737870112856704,42,3,37,3,27,2,37,2,23,3,166,33.2
GP,M,16,U,GT3,T,4,3,health,services,reputation,mother,1,4,0,no,no,no,yes,yes,yes,yes,no,4,2,2,1,1,2,4,real_uci_base,7.4,4.1,64.06812564170458,81,4,65,4,54,3,68,4,62,2,330,66.0
GP,M,15,U,GT3,T,4,2,teacher,other,home,mother,1,2,0,no,yes,yes,no,yes,yes,no,no,4,3,3,2,2,5,2,real_uci_base,7.5,3.5,66.80835816324922,70,4,67,3,80,4,76,4,60,4,353,70.6
GP,F,15,U,GT3,T,4,4,services,teacher,other,father,1,2,1,yes,yes,no,yes,no,yes,yes,no,4,4,4,1,1,3,2,real_uci_base,6.2,5.2,41.166958720343615,30,2,36,2,39,3,43,2,38,2,186,37.2
GP,F,16,U,LE3,T,2,2,services,services,course,mother,3,2,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,2,3,4,2,real_uci_base,7.5,6.6,40.04989693642425,43,2,53,4,34,2,41,3,38,2,209,41.8
GP,F,15,U,LE3,T,4,2,health,other,other,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,1,1,5,2,real_uci_base,7.0,4.7,62.56388725418838,68,4,67,3,78,4,75,5,54,3,342,68.4
GP,M,15,U,LE3,A,4,2,health,health,other,father,2,1,1,no,no,no,no,yes,yes,no,no,5,5,5,3,4,5,6,real_uci_base,7.3,6.6,34.001317257715485,31,2,45,2,34,2,45,2,34,2,189,37.8
GP,F,15,U,GT3,T,4,4,services,services,course,mother,1,1,0,yes,yes,yes,no,yes,yes,yes,no,3,3,4,2,3,5,0,real_uci_base,8.0,6.6,41.89244654078161,45,3,56,4,33,3,40,3,41,3,215,43.0
GP,F,15,U,LE3,A,3,3,other,other,other,mother,1,1,0,no,no,yes,no,yes,yes,yes,no,5,3,4,4,4,1,6,real_uci_base,8.3,6.2,42.78974985242771,51,3,50,4,46,2,40,3,45,4,232,46.4
GP,F,16,U,GT3,A,2,1,other,other,other,mother,1,2,0,no,no,yes,yes,yes,yes,yes,yes,5,3,4,1,1,2,8,real_uci_base,8.0,5.4,45.42548389815833,60,3,44,3,37,3,50,3,57,3,248,49.6
GP,F,15,U,GT3,A,4,3,services,services,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,1,0,real_uci_base,6.7,4.9,63.53492839053563,66,4,65,4,72,4,48,3,71,3,322,64.4
GP,M,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,3,2,2,1,1,5,4,real_uci_base,7.0,2.9,66.04822578923881,73,4,67,3,69,3,65,4,57,4,331,66.2
GP,M,15,U,LE3,T,1,2,other,at_home,home,father,1,2,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,2,real_uci_base,7.5,3.9,57.122037192931664,66,5,41,3,59,3,68,4,57,4,291,58.2
GP,F,16,U,GT3,T,4,2,services,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,2,3,1,1,5,2,real_uci_base,7.9,5.1,59.4399663674821,69,3,62,4,69,4,44,3,57,4,301,60.2
GP,F,16,R,GT3,T,4,4,health,teacher,other,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,2,4,4,2,3,4,6,real_uci_base,7.1,4.1,62.43712874920424,49,3,57,3,71,4,67,3,64,4,308,61.6
GP,F,16,U,GT3,T,1,1,services,services,course,father,4,1,0,yes,yes,no,yes,no,yes,yes,yes,5,5,5,5,5,5,6,real_uci_base,7.6,8.0,29.598117964329354,31,2,42,4,26,2,36,3,38,2,173,34.6
GP,F,16,U,LE3,T,1,2,other,services,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,no,4,4,3,1,1,1,4,real_uci_base,6.6,5.4,41.08875524747519,35,2,40,2,39,2,38,3,43,3,195,39.0
GP,F,16,U,GT3,T,4,3,teacher,health,home,mother,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,3,4,4,2,4,4,2,real_uci_base,6.3,6.4,54.82684347699384,50,4,62,3,53,3,54,3,64,3,283,56.6
GP,F,15,U,LE3,T,4,3,services,services,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,yes,4,4,4,2,4,2,0,real_uci_base,8.0,6.1,65.73628229722269,75,3,62,3,75,4,74,4,69,4,355,71.0
GP,F,16,U,LE3,T,4,3,teacher,services,course,mother,3,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,2,1,2,real_uci_base,8.3,5.6,51.58144304088489,60,3,53,3,48,3,57,3,61,3,279,55.8
GP,M,15,U,GT3,A,4,4,other,services,reputation,mother,1,4,0,no,yes,no,yes,no,yes,yes,yes,1,3,3,5,5,3,4,real_uci_base,6.7,5.5,51.48122339983608,59,3,55,3,53,3,53,2,45,2,265,53.0
GP,F,16,U,GT3,T,3,1,services,other,course,mother,1,4,0,yes,yes,yes,no,yes,yes,yes,no,4,3,3,1,2,5,4,real_uci_base,7.5,4.9,66.12867622860873,83,4,64,4,74,3,57,3,73,4,351,70.2
GP,F,15,R,LE3,T,2,2,health,services,reputation,mother,2,2,0,yes,yes,yes,no,yes,yes,yes,no,4,1,3,1,3,4,2,real_uci_base,7.4,4.7,51.016570905965565,60,4,59,4,48,4,58,3,56,4,281,56.2
GP,F,15,R,LE3,T,3,1,other,other,reputation,father,2,4,0,no,yes,no,no,no,yes,yes,no,4,4,2,2,3,3,12,real_uci_base,6.4,4.0,51.00617851773611,56,4,53,4,47,2,50,3,57,3,263,52.6
GP,M,16,U,GT3,T,3,1,other,other,reputation,father,2,4,0,no,yes,yes,no,yes,yes,yes,no,4,3,2,1,1,5,0,real_uci_base,7.1,5.0,71.98114713738282,83,4,80,4,77,4,74,3,81,4,395,79.0
GP,M,15,U,GT3,T,4,2,other,other,course,mother,1,4,0,no,no,no,no,yes,yes,yes,no,3,3,3,1,1,3,0,real_uci_base,7.9,6.6,79.79024433210355,96,5,99,5,91,4,72,4,76,5,434,86.8
GP,F,15,R,GT3,T,1,1,other,other,reputation,mother,1,2,2,yes,yes,no,no,no,yes,yes,yes,3,3,4,2,4,5,2,real_uci_base,7.3,4.6,27.54678875414345,30,2,23,2,34,1,44,2,34,2,165,33.0
GP,M,16,U,GT3,T,3,1,other,other,reputation,mother,1,1,0,no,no,no,yes,yes,yes,no,no,5,3,2,2,2,5,2,real_uci_base,8.6,3.2,44.115590261584,58,3,38,3,36,3,53,3,58,3,243,48.6
GP,F,16,U,GT3,T,3,3,other,services,home,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,3,2,4,5,54,real_uci_base,5.5,5.7,20.0,2,1,24,3,12,2,20,1,24,2,82,16.4
GP,M,15,U,GT3,T,4,3,teacher,other,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,2,3,5,6,real_uci_base,7.9,5.1,55.11785588732708,69,4,61,4,57,4,49,3,53,3,289,57.8
GP,M,15,U,GT3,T,4,0,teacher,other,course,mother,2,4,0,no,no,no,yes,yes,yes,yes,no,3,4,3,1,1,1,8,real_uci_base,7.0,5.8,65.48326405989755,75,4,68,3,68,4,66,3,77,4,354,70.8
GP,F,16,U,GT3,T,2,2,other,other,reputation,mother,1,4,0,no,no,yes,no,yes,yes,yes,yes,5,2,3,1,3,3,0,real_uci_base,6.5,5.2,65.34100647897229,77,4,77,4,72,4,64,4,61,2,351,70.2
GP,M,17,U,GT3,T,2,1,other,other,home,mother,2,1,3,yes,yes,no,yes,yes,no,yes,no,4,5,1,1,1,3,2,real_uci_base,7.8,6.3,20.0,31,2,24,2,22,1,19,1,20,1,116,23.2
GP,F,16,U,GT3,T,3,4,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,2,4,3,1,2,3,12,real_uci_base,6.0,6.7,39.40437008926416,27,2,53,3,28,3,52,3,46,2,206,41.2
GP,M,15,U,GT3,T,2,3,other,services,course,father,1,1,0,yes,yes,yes,yes,no,yes,yes,yes,3,2,2,1,3,3,2,real_uci_base,7.3,4.4,39.077018203691466,23,2,47,3,34,3,50,3,41,3,195,39.0
GP,M,15,U,GT3,T,2,3,other,other,home,mother,1,3,0,yes,no,yes,no,no,yes,yes,no,5,3,2,1,2,5,4,real_uci_base,7.3,4.4,66.03850795794929,78,3,62,4,68,3,67,4,65,3,340,68.0
GP,F,15,U,LE3,T,3,2,services,other,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,4,4,1,1,5,10,real_uci_base,8.4,6.4,54.96262972831351,68,3,60,3,65,4,58,3,59,4,310,62.0
GP,M,15,U,LE3,T,2,2,services,services,home,mother,2,2,0,no,no,yes,yes,yes,yes,yes,no,5,3,3,1,3,4,4,real_uci_base,6.9,6.5,38.2756212798556,34,2,51,3,23,2,28,2,22,1,158,31.6
GP,F,15,U,GT3,T,1,1,other,other,home,father,1,2,0,no,yes,no,yes,no,yes,yes,no,4,3,2,2,3,4,2,real_uci_base,6.7,4.5,55.28903386908411,50,3,50,3,63,3,51,3,47,4,261,52.2
GP,F,15,U,GT3,T,4,4,services,services,reputation,father,2,2,2,no,no,yes,no,yes,yes,yes,yes,4,4,4,2,3,5,6,real_uci_base,7.0,5.1,38.26442732536401,35,2,30,3,43,3,46,3,41,3,195,39.0
GP,F,16,U,LE3,T,2,2,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4,3,4,1,2,2,4,real_uci_base,7.9,5.4,60.12756787087476,73,3,81,5,69,4,64,3,62,4,349,69.8
GP,F,15,U,GT3,T,4,2,other,other,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,3,1,4,real_uci_base,7.3,4.9,52.37723350908932,53,3,58,4,47,3,57,4,43,3,258,51.6
GP,M,16,U,GT3,T,2,2,services,other,reputation,father,2,2,1,no,no,yes,yes,no,yes,yes,no,4,4,2,1,1,3,12,real_uci_base,7.0,3.7,33.345055067507374,28,2,29,3,19,2,30,3,51,2,157,31.4
GP,M,16,U,LE3,A,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4,1,3,3,5,5,18,real_uci_base,7.5,3.8,47.11618414139621,56,3,59,3,53,4,43,3,43,3,254,50.8
GP,F,16,U,GT3,T,3,3,other,other,home,mother,1,3,0,no,yes,yes,no,yes,yes,yes,yes,4,3,3,1,3,4,0,real_uci_base,7.1,4.9,63.04670656137117,71,5,61,3,68,4,61,4,67,4,328,65.6
GP,F,15,U,GT3,T,4,3,services,other,reputation,mother,1,1,0,no,no,yes,yes,yes,yes,yes,no,4,5,5,1,3,1,4,real_uci_base,8.4,6.7,56.71816493756178,69,4,56,3,73,4,60,3,53,3,311,62.2
GP,F,16,U,LE3,T,3,1,other,other,home,father,1,2,0,yes,yes,no,no,yes,yes,no,no,3,3,3,2,3,2,4,real_uci_base,6.8,4.4,51.11647348289078,45,3,59,3,59,3,53,3,43,3,259,51.8
GP,F,16,U,GT3,T,4,2,teacher,services,home,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,no,5,3,3,1,1,1,0,real_uci_base,7.1,5.5,55.3939123391278,52,4,61,3,54,3,46,2,59,4,272,54.4
GP,M,15,U,LE3,T,2,2,services,health,reputation,mother,1,4,0,no,yes,no,yes,yes,yes,yes,no,4,3,4,1,1,4,6,real_uci_base,6.5,6.0,53.39178475400465,54,3,62,4,42,3,51,3,50,2,259,51.8
GP,F,15,R,GT3,T,1,1,at_home,other,home,mother,2,4,1,yes,yes,yes,yes,yes,yes,yes,no,3,1,2,1,1,1,2,real_uci_base,5.6,3.3,57.640003436314906,53,3,55,3,63,2,58,4,44,3,273,54.6
GP,M,16,R,GT3,T,4,3,services,other,reputation,mother,2,1,0,yes,yes,no,yes,no,yes,yes,no,3,3,3,1,1,4,2,real_uci_base,7.8,5.7,44.15176744549572,54,3,62,3,45,3,47,4,57,3,265,53.0
GP,F,16,U,GT3,T,2,1,other,other,course,mother,1,2,0,no,yes,yes,no,yes,yes,no,yes,4,3,5,1,1,5,2,real_uci_base,7.5,4.7,62.260811328633935,59,4,63,4,78,4,68,4,51,3,319,63.8
GP,F,16,U,GT3,T,4,4,other,other,reputation,mother,1,1,0,no,no,no,yes,no,yes,yes,no,5,3,4,1,2,1,6,real_uci_base,7.6,6.3,48.35369210236095,49,3,54,3,44,3,53,3,33,2,233,46.6
GP,F,16,U,GT3,T,4,3,other,at_home,course,mother,1,3,0,yes,yes,yes,no,yes,yes,yes,no,5,3,5,1,1,3,0,real_uci_base,6.9,6.6,71.4134924357071,69,3,81,4,70,3,74,4,73,4,367,73.4
GP,M,16,U,GT3,T,4,4,services,services,other,mother,1,1,0,yes,yes,yes,yes,yes,yes,yes,no,4,5,5,5,5,4,14,real_uci_base,6.8,6.4,38.853587740355664,22,2,33,3,42,3,34,4,37,3,168,33.6
GP,M,16,U,GT3,T,4,4,services,teacher,other,father,1,3,0,no,yes,no,yes,yes,yes,yes,yes,4,4,3,1,1,4,0,real_uci_base,6.9,6.7,60.868027063345245,66,4,73,3,59,4,44,3,58,4,300,60.0
GP,M,15,U,GT3,T,4,4,services,other,course,mother,1,1,0,no,yes,no,yes,no,yes,yes,no,5,3,3,1,1,5,4,real_uci_base,7.3,4.6,51.25362176904324,52,3,54,4,47,3,37,3,48,4,238,47.6
GP,F,15,U,GT3,T,3,2,services,other,home,mother,2,2,0,yes,yes,yes,no,yes,yes,yes,no,4,3,5,1,1,2,26,real_uci_base,6.7,6.4,38.78455273592352,37,3,47,3,39,3,30,2,53,3,206,41.2
GP,M,15,U,GT3,A,3,4,services,other,course,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,4,4,1,1,1,0,real_uci_base,7.3,6.2,60.15990015425143,66,3,61,4,66,3,64,4,58,2,315,63.0
GP,F,15,U,GT3,A,3,3,other,health,reputation,father,1,4,0,yes,no,no,no,yes,yes,no,no,4,3,3,1,1,4,10,real_uci_base,7.1,5.3,64.1729389773063,71,4,82,4,69,4,61,4,66,4,349,69.8
GP,F,15,U,GT3,T,2,2,other,other,course,mother,1,4,0,yes,yes,yes,no,yes,yes,yes,no,5,1,2,1,1,3,8,real_uci_base,7.9,3.4,64.86713155158776,84,4,67,4,63,4,68,3,66,4,348,69.6
GP,M,16,U,GT3,T,3,3,services,other,home,father,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,5,2,real_uci_base,7.2,5.0,62.20621153809421,77,4,70,4,54,3,45,2,65,4,311,62.2
GP,M,15,R,GT3,T,4,4,other,other,home,father,4,4,0,no,yes,yes,yes,yes,yes,yes,yes,1,3,5,3,5,1,6,real_uci_base,7.0,5.8,55.931462178314895,63,4,66,4,55,3,50,3,58,4,292,58.4
GP,F,16,U,LE3,T,4,4,health,health,other,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,yes,5,4,5,1,1,4,4,real_uci_base,7.1,6.4,49.85759543351113,57,3,53,2,46,3,61,3,42,3,259,51.8
GP,M,15,U,LE3,A,4,4,teacher,teacher,course,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,5,5,3,1,1,4,6,real_uci_base,6.4,6.6,50.46900868873219,37,2,52,3,55,2,52,3,44,2,240,48.0
GP,F,16,R,GT3,T,3,3,services,other,reputation,father,1,3,1,yes,yes,no,yes,yes,yes,yes,no,4,1,2,1,1,2,0,real_uci_base,6.8,2.6,50.94167265169916,48,3,39,2,47,2,51,3,54,3,239,47.8
GP,F,16,U,GT3,T,2,2,at_home,other,home,mother,1,2,1,yes,no,no,yes,yes,yes,yes,no,3,1,2,1,1,5,6,real_uci_base,7.1,3.1,36.85000558076553,32,2,33,2,31,2,48,3,28,2,172,34.4
GP,M,15,U,LE3,T,4,2,teacher,other,course,mother,1,1,0,no,no,no,no,yes,yes,yes,no,3,5,2,1,1,3,10,real_uci_base,9.5,4.7,33.665933917335735,53,3,29,1,25,1,39,2,31,3,177,35.4
