experience,js,react,node,python,ts,sql,mongodb,docker,aws,git,nextjs,tailwind,redux,graphql,kubernetes,cicd,testing,azure,agile,salary
14,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,137000
1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,24000
4,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,55000
2,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,38000
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,90000
4,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,45000
2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20000
14,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,150000
6,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,54000
6,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,67000
10,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,99000
4,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,60000
6,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1,72000
13,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,138000
2,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,50000
10,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,87000
12,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,119000
2,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,16000
10,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,106000
14,0,0,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,134000
4,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0,59000
14,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,132000
8,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,84000
14,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,121000
7,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,73000
12,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,124000
9,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,93000
14,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,145000
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,102000
5,1,0,1,1,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0,64000
13,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,119000
2,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0,33000
5,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,46000
8,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,61000
10,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,113000
9,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,85000
12,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,116000
12,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,111000
12,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,122000
13,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,136000
9,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,93000
13,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,138000
13,0,0,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,124000
1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,25000
9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,108000
7,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,74000
9,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,94000
8,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,73000
1,1,0,1,1,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0,29000
12,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,120000
8,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,82000
8,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,70000
11,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,116000
3,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0,48000
1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,25000
8,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,84000
3,0,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,23000
3,0,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,37000
1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,16000
11,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,113000
5,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,75000
10,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,82000
7,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,79000
10,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,104000
9,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,78000
12,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,107000
7,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,69000
9,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,88000
8,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,87000
12,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,114000
2,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,24000
1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,24000
7,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,72000
7,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,59000
14,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,128000
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,101000
5,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,56000
3,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0,48000
12,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,128000
8,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,82000
6,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,67000
11,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,104000
3,1,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,37000
1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,34000
3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22000
5,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,64000
14,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,147000
3,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0,47000
1,1,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,12000
5,1,0,1,1,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0,66000
10,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,101000
7,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,70000
14,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,136000
7,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,74000
11,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,122000
9,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,105000
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,114000
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,118000
12,0,0,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,118000
13,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,135000
3,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,30000
7,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,64000
1,1,0,1,1,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0,27000
4,1,0,1,1,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0,57000
13,0,0,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,124000
4,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,32000
14,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,140000
5,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,53000
7,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,63000
7,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,60000
13,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,125000
11,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,104000
13,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,137000
4,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0,54000
13,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,127000
7,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,78000
11,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,96000
3,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,40000
6,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,71000
12,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,111000
2,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,33000
10,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,101000
13,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,133000
14,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,139000
9,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,94000
5,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,50000
6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,41000
12,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,110000
12,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,109000
12,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,131000
12,0,0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,113000
4,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,66000
14,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,133000
14,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,128000
11,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,109000
10,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,101000
7,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,76000
12,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,116000
9,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,90000
7,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,77000
14,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,145000
1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,44000
1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0,35000
9,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,82000
11,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,108000
14,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,141000
9,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,99000
4,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,50000
13,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,123000
9,0,0,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,92000
3,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,40000
7,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,69000
6,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1,63000
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,103000
11,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,111000
9,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,91000
14,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,141000
5,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,55000
1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12000
3,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,46000
10,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,94000
12,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,119000
8,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,77000
11,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,109000
6,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,66000
8,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,86000
9,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,99000
4,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0,48000
1,1,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,12000
14,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,142000
1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,27000
10,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,95000
4,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,48000
12,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,105000
14,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,137000
7,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,71000
2,1,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,18000
3,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,36000
1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15000
5,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,53000
1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,21000
8,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,89000
1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12000
11,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,110000
1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,30000
2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14000
2,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0,35000
12,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,105000
6,0,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,54000
7,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,74000
5,1,0,1,1,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0,59000
1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12000
1,1,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,17000
3,0,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,31000
14,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,136000
2,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,38000
5,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0,67000
12,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,125000
10,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,100000
6,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,75000
7,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,72000
4,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,51000
7,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,74000
11,0,0,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,107000
8,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,76000
11,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,101000
1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,23000
6,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,68000
8,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,83000
5,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,69000
4,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,44000
2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19000
6,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,53000
6,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,71000
11,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,109000
1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,12000
9,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,87000
12,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,110000
11,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,110000
6,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1,67000
13,0,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,116000
3,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,32000
4,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,67000
12,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,117000
11,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,108000
4,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0,49000
3,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,36000
10,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,94000
3,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,54000
3,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,30000
4,0,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,51000
7,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,72000
4,1,0,1,1,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0,59000
9,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,77000
1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12000
8,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,76000
7,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,77000
2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12000
8,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,86000
1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,14000
11,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,112000
12,0,0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,113000
9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,109000
9,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,97000
2,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,26000
7,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,70000
14,0,0,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,130000
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,111000
3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,25000
7,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,76000
12,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,123000
10,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,94000
9,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,87000
